Track,Artist,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Stream
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,spotify:track:3Is0Nnz59rzbNZE491URlY,0.649,0.825,10.0,-12.243,0.0335,0.00606,0.154,0.104,0.961,112.124,186907.0,,47486504.0
(Sittin' On) the Dock of the Bay,Otis Redding,spotify:track:3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2.0,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621,163756.0,Otis Redding - (Sittin' On) The Dock Of The Bay (Official Music Video),515616223.0
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,spotify:track:0hvN2v6fAcB6xWyW7UaooA,0.478,0.341,5.0,-12.556,0.0511,0.897,0.0,0.258,0.474,143.736,175893.0,Perry Como - (There's No Place Like) Home for the Holidays (Official Audio),77965317.0
(They Long To Be) Close To You,Carpenters,spotify:track:50q2aUjWoTn6CJIfSPRJQA,0.532,0.244,8.0,-14.652,0.0327,0.707,4.56e-05,0.122,0.238,89.327,276000.0,They Long To Be (Close To You) - Carpenters HD_HQ 1970,139409141.0
(Today I Met) The Boy I'm Gonna Marry,Darlene Love,spotify:track:7vom8fLbX5i3Nh5pOF64Nw,0.355,0.703,1.0,-5.847,0.0586,0.54,0.0645,0.911,0.607,100.878,166053.0,Darlene Love - (Today I Met) The Boy I'm Gonna Marry (Official Audio),16964783.0
(What A) Wonderful World,Sam Cooke,spotify:track:7N15WWy12QAMpGAh6QMAej,0.771,0.522,11.0,-12.193,0.0368,0.571,0.0,0.145,0.94,128.641,129061.0,Sam Cooke - What A Wonderful World (Official Lyric Video),
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,spotify:track:6k8uthjEbttfWXcGaNTQGD,0.711,0.761,8.0,-3.04,0.225,0.067,0.0,0.041,0.718,95.824,243880.0,Sean Paul - Give It Up To Me (feat. Keyshia Cole) [Disney Version] (Official Video),51339097.0
(You Are) My Special Angel,Bobby Helms,spotify:track:51fexJQ3yrIf4KEEBGQfJX,0.295,0.171,2.0,-14.95,0.0309,0.95,0.00109,0.118,0.424,72.106,191573.0,Bobby Helms - You are my special Angel (1957),239803.0
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,spotify:track:5K09WxKdlkroDyEVyOSySy,0.603,0.271,5.0,-10.083,0.0284,0.679,0.0,0.141,0.405,110.89,165333.0,Aretha Franklin - (You Make Me Feel Like) A Natural Woman (Official Lyric Video),164794358.0
(You're The) Devil in Disguise,Elvis Presley,spotify:track:1GEGKdhnYoQYZ2cvbo5XPM,0.481,0.733,5.0,-7.633,0.165,0.573,1.17e-05,0.108,0.874,122.903,140427.0,Elvis Presley - (You're The) Devil In Disguise (Official Animated Video),107417556.0
(You're) Timeless To Me,John Travolta,spotify:track:3DjABtwYURALZGUzrC6Scg,0.487,0.408,4.0,-8.256,0.124,0.797,0.0,0.126,0.451,117.141,287187.0,(You're) Timeless To Me,
+ (MÁS),Cali Y El Dandee,spotify:track:1MXzojJav1N4cREWTFm1iZ,0.561,0.678,8.0,-4.23,0.0324,0.0996,0.0,0.125,0.662,160.042,219355.0,Cali Y El Dandee - La Estrategia (Video Oficial),151740161.0
.,girl in red,spotify:track:4r1AqGpB9YrXV2ivcrqfJY,0.451,0.907,10.0,-7.362,0.291,0.0838,0.832,0.137,0.317,151.988,166240.0,girl in red - we fell in love in october,27399977.0
...& On,Erykah Badu,spotify:track:7LJz6DZS1tIRB06bbYbAPi,0.78,0.343,1.0,-12.13,0.071,0.413,0.000154,0.307,0.724,83.417,214133.0,Erykah Badu Best Of Playlist 2021 HD ||Erykah Badu Greatest Hits Full Album,9689356.0
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,spotify:track:30QR0ndUdiiMQMA9g1PGCm,0.792,0.511,2.0,-6.876,0.0409,0.124,9.04e-05,0.14,0.111,113.983,168490.0,"$uicideBoy$ – ...And To Those I Love, Thanks For Sticking Around (Music Video)",471829667.0
...Baby One More Time,Britney Spears,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,0.759,0.699,0.0,-5.745,0.0307,0.202,0.000131,0.443,0.907,92.96,211067.0,Britney Spears - ...Baby One More Time (Official Video),588819207.0
...Y al final,Bunbury,spotify:track:3LR1Ienv3nT4S8gbsie6bA,0.686,0.318,8.0,-11.683,0.0354,0.771,1.79e-05,0.26,0.181,121.959,262120.0,Bunbury - ...Y Al Final,57742599.0
.38,BK,spotify:track:3nobSbq9rggHUEbRBoZaDg,0.779,0.779,4.0,-3.715,0.116,0.396,0.0,0.35,0.513,125.942,126679.0,,4992074.0
"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",Jon Z,spotify:track:4COGASZEbAxmH6k5gYMo6G,0.894,0.721,4.0,-5.829,0.258,0.155,0.0,0.154,0.392,107.963,335737.0,"Jon Z - 0 Sentimientos (Remix) ft. Baby Rasta, Noriel, Lyan, Darkiel, Messiah [Official Video]",175990895.0
0 to 100,Sidhu Moose Wala,spotify:track:7cVe3mYMIfhOlz1NXFWv70,0.742,0.675,8.0,-6.551,0.0907,0.139,0.0,0.167,0.679,145.989,108493.0,0 TO 100 : Sidhu Moose Wala | Official Visual Video | Mxrci | New Song 2022,34614868.0
0% Angel,Mr.Kitty,spotify:track:0l2Ob0zMIQ21gJn642HyQ1,0.623,0.867,8.0,-7.656,0.0262,0.00547,0.000275,0.0797,0.766,135.013,234671.0,,14230967.0
00:00,Siddhartha,spotify:track:7l4cSfrED7RrtT0t5CSOzv,0.494,0.729,10.0,-5.098,0.0482,0.0597,0.0124,0.121,0.556,159.125,215252.0,Siddhartha - 00:00 (Video Oficial),54468664.0
022,Pezet,spotify:track:4UQNCztmMi7Ec2wrup0qdu,0.692,0.742,2.0,-7.167,0.5,0.447,5.93e-06,0.348,0.589,190.047,161652.0,Louis Villain x Pezet - 022,1360622.0
03' Bonnie & Clyde,JAY-Z,spotify:track:5ljCWsDlSyJ41kwqym2ORw,0.759,0.678,9.0,-5.148,0.314,0.23,0.0,0.15,0.327,89.64,205560.0,JAY-Z - '03 Bonnie & Clyde ft. Beyoncé Knowles,115228530.0
04:30,Ufo361,spotify:track:3rl8q9HPOEw6zo6G1KQGfq,0.72,0.659,4.0,-7.568,0.066,0.242,2.99e-05,0.0988,0.157,160.014,195737.0,04:30,66528083.0
069,Haftbefehl,spotify:track:6sJqXK6CX4upHkYUBe1qqA,0.707,0.723,0.0,-5.114,0.359,0.347,0.0,0.13,0.286,124.376,222767.0,Haftbefehl - 069,62066034.0
0Uhr26,Capital Bra,spotify:track:1pPG60ifB0mxK3hVjQQ1dn,0.76,0.711,5.0,-4.964,0.108,0.0746,0.0,0.104,0.573,124.991,144987.0,"CAPITAL BRA, LUCRY & SUENA – 0UHR26 [Official Video]",5642258.0
0X1=LOVESONG (I Know I Love You) feat. Seori,TOMORROW X TOGETHER,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,0.584,0.836,0.0,-4.925,0.079,0.0558,0.0,0.0663,0.484,104.973,202204.0,TXT (투모로우바이투게더) '0X1=LOVESONG (I Know I Love You) feat. Seori' Official MV,176693348.0
1 0 0 . m i l ‘ (with Bas),Bas,spotify:track:4n6NDfYake476trCjJRNl0,0.711,0.647,2.0,-5.667,0.0822,0.334,0.0,0.312,0.227,125.092,163302.0,J. Cole - 1 0 0 . m i l ‘  feat. Bas (Official Audio),63116873.0
1 0 0 1 1,Klaas,spotify:track:6xPla8DWnArR8F2WOp3B87,0.606,0.818,1.0,-6.284,0.0553,0.00854,0.0,0.263,0.195,123.823,142984.0,Klaas – 1 0 0 1 1,1291752.0
1 Hora e Meia,Zezé Di Camargo & Luciano,spotify:track:3W8Oy4HpNaB3A2jQiH3CIG,0.751,0.755,6.0,-4.43,0.0306,0.423,0.0,0.634,0.951,126.023,165927.0,Zezé Di Camargo & Luciano - Fui Eu (Ao Vivo),19142021.0
1 On 3 (feat. Rvssian),Rvssian,spotify:track:5APTC8XAiHLn89cpgWqrWl,0.783,0.853,11.0,-4.787,0.292,0.252,5.64e-06,0.0743,0.948,140.202,96000.0,"Fivio Foreign, Rvssian - 1 On 3 (Official Video)",6762570.0
1 Scale (feat. G Herbo),Young Dolph,spotify:track:5gmkw2031VVIboYqPIjSWB,0.878,0.635,6.0,-5.811,0.24,0.0289,0.0,0.276,0.331,135.035,176040.0,Young Dolph - 1 Scale ft G Herbo ( Official Video ),85976236.0
1 Thot 2 Thot Red Thot Blue Thot,Yung Gravy,spotify:track:7LptQZjp5wgdYDQZPjOV9O,0.79,0.768,6.0,-5.638,0.284,0.148,0.000947,0.126,0.691,80.029,131139.0,Yung Gravy - 1 Thot 2 Thot Red Thot Blue Thot (Official Music Video),179851683.0
"1 step forward, 3 steps back",Olivia Rodrigo,spotify:track:4wcBRRpIfesgcyUtis7PEg,0.473,0.203,2.0,-12.627,0.102,0.941,0.0,0.126,0.419,168.884,163587.0,"Olivia Rodrigo - 1 step forward, 3 steps back (Lyric Video)",311967740.0
"1, 2 Many",Brooks & Dunn,spotify:track:226le7T3p82reYWzsi9Hsz,0.54,0.821,6.0,-3.789,0.0873,0.0397,0.0,0.423,0.685,148.798,180907.0,,142046437.0
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",De La Ghetto-Jason Derulo-Sofía Reyes,spotify:track:737gzPI5VAmgUGWiJ9yXuu,0.792,0.895,1.0,-3.112,0.0587,0.165,0.0,0.0501,0.793,94.968,201526.0,"Sofia Reyes - 1, 2, 3 (feat. Jason Derulo & De La Ghetto) [Official Video]",589683929.0
"1, 2, 3, 4",Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.458,0.55,2.0,-7.092,0.0262,0.566,1.39e-05,0.108,0.56,90.56,198360.0,"Plain White T's - 1, 2, 3, 4",77160530.0
"1, 2, 3, 4 (Sumpin' New)",Coolio,spotify:track:2wPjoNKQAfEdgEYrPIBwAD,0.904,0.747,1.0,-7.218,0.157,0.296,0.00286,0.322,0.61,115.181,213920.0,"Coolio - 1,2,3,4 (Sumpin' New) [Official Music Video]",11829286.0
1-800-273-8255,Logic,spotify:track:5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5.0,-7.788,0.0479,0.569,0.0,0.19,0.357,100.023,250173.0,"Logic - 1-800-273-8255 ft. Alessia Cara, Khalid (Official Video)",1212602895.0
10 Jahre,LX,spotify:track:3KbCjPkewCmJt09FYtyVK5,0.599,0.825,0.0,-6.484,0.373,0.0734,0.0,0.288,0.419,121.115,227687.0,187 Strassenbande - 10 Jahre (Jambeatz),52448796.0
10 NUMARA,Lvbel C5,spotify:track:6GDpxEOvaXS0nbqSrFtDAQ,0.684,0.652,11.0,-10.144,0.164,0.00667,0.000236,0.0816,0.654,142.068,118565.0,"LVBEL C5 - '10 numara,",80859664.0
"10 Preludes, Op. 23: No. 5 in G Minor: Alla marcia",Sergei Rachmaninoff,spotify:track:0zvOxmMNj1o8nNhn2LrmPp,0.359,0.282,7.0,-13.651,0.0358,0.993,0.902,0.111,0.177,106.323,237987.0,"Yuja Wang – Rachmaninov: Prelude in G Minor, Op. 23, No. 5 (Live at Philharmonie, Berlin / 2018)",7648747.0
10 RAGAZZE (con ERNIA),Ernia,spotify:track:45OsJpk7HMJKOnMVf2eQsV,0.707,0.674,0.0,-5.717,0.193,0.261,0.0,0.145,0.824,83.066,174727.0,"Rkomi, Ernia - 10 RAGAZZE (Visual)",51980847.0
10%,KAYTRANADA,spotify:track:41SwdQIX8Hy2u6fuEDgvWr,0.794,0.757,6.0,-6.644,0.123,0.0267,0.000306,0.0621,0.615,107.99,186680.0,KAYTRANADA - 10% (Official Video) ft. Kali Uchis,93637411.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,spotify:track:4j5ffIFh7bFT7GZciP1TCy,0.654,0.63,10.0,-4.644,0.0259,0.149,0.0,0.111,0.43,89.991,167693.0,"Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video)",892645032.0
100 Años,Carlos Rivera,spotify:track:33Va5mHYSweB26k0OsZAdu,0.548,0.568,9.0,-4.46,0.0292,0.675,0.0,0.0916,0.735,83.308,185080.0,Carlos Rivera & Maluma - 100 Años (Video Oficial),108239027.0
100 Bad Days,AJR,spotify:track:17FK4etx1u2NK60cptINMS,0.626,0.639,10.0,-5.62,0.085,0.0465,0.0,0.161,0.638,144.009,212783.0,AJR - 100 Bad Days (Official Video),199671795.0
100 SMSjes,Ronnie Flex,spotify:track:4MA4LxSsJRbj4axg1uTi2n,0.785,0.656,2.0,-5.719,0.0798,0.0299,0.0,0.237,0.652,130.009,151028.0,Sigourney K ft. Ronnie Flex - 100 SMSjes (prod. Project Money),13299263.0
100 Shots,Young Dolph,spotify:track:3TXy6nchgKeYlVwOKNk9lE,0.798,0.668,8.0,-5.244,0.25,0.135,4.6e-06,0.0583,0.154,134.006,264819.0,"Young Dolph ""100 Shots"" (WSHH Exclusive - Official Music Video)",87866655.0
100% Pure Love,Years & Years,spotify:track:46id9snGVXnL2aUR5nISKC,0.705,0.924,7.0,-3.202,0.0321,0.00349,2.57e-05,0.332,0.337,119.991,180825.0,,2580173.0
1000 Blunts,$uicideboy$,spotify:track:09riz9pAPJyYYDVynE5xxY,0.83,0.698,5.0,-6.517,0.077,0.224,1.02e-06,0.191,0.595,132.99,175476.0,$UICIDEBOY$ - 1000 BLUNTS (Lyric Video),47876216.0
1000 Rounds,Pouya-Ghostemane,spotify:track:5o7ZDvfOry1MNhNLBOJulo,0.825,0.761,8.0,-5.389,0.104,0.0111,0.00359,0.334,0.161,149.97,163371.0,Pouya x Ghostemane - 1000 Rounds [Music Video],152073616.0
1000 Tahun Lamanya,Tulus,spotify:track:2x9UGhofPBZdeam4uZCUID,0.707,0.475,5.0,-8.259,0.0454,0.618,0.0003,0.137,0.764,85.993,232227.0,Tulus - 1000 Tahun Lamanya,52198908.0
"105 F Remix (feat. Arcangel, Ñengo Flow, Darell, Myke Towers & Brytiago)",Chencho Corleone,spotify:track:73R3WkIr8D4jfvJ1Ti5hty,0.903,0.737,5.0,-7.442,0.161,0.355,1.48e-06,0.284,0.766,100.021,464214.0,"🌡105F RMX - Kevvo FT Chencho Corleone, Farruko , Myke Towers, Arcangel, Ñengo Flow, Darell, Brytiago",184098248.0
10:35,Tiësto-Tate McRae,spotify:track:6BePGk3eCan4FqaW2X8Qy3,0.696,0.793,8.0,-5.733,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253.0,Tiësto - 10:35 (feat. Tate McRae) (Official Music Video),107996524.0
10:35 (feat. Tate McRae) - Joel Corry Remix,Joel Corry,spotify:track:5b9DCQzPV6KEg9b6WB8v4e,0.671,0.852,8.0,-5.375,0.0415,0.00367,0.0033,0.0754,0.835,127.005,181442.0,Tiësto - 10:35 (feat. Tate McRae) [Joel Corry Remix] [Official Visualizer],1603893.0
10x Stronger,Dominic Fike,spotify:track:3xLU29XDzxUllbDjLumKf7,0.42,0.391,4.0,-6.45,0.0291,0.955,0.641,0.426,0.132,100.021,75586.0,Dominic Fike - 10x Stronger (Official Audio),9546358.0
11 PM,Maluma,spotify:track:7KbF6AdprOXEEHlsq11Z6d,0.777,0.712,10.0,-4.84,0.277,0.217,0.0,0.091,0.68,95.692,175733.0,Maluma - 11 PM (Official Video),614002773.0
11 Y 6,Fito Paez,spotify:track:2PkTjm1QAJCZbJ9MqC4RqA,0.72,0.325,7.0,-16.922,0.0319,0.0756,0.0,0.308,0.318,101.3,178267.0,Fito Paez - 11 y 6 (Official Video),91320637.0
110,Capital Bra,spotify:track:67ojvEGRPAUCOohuMPqoRC,0.48,0.749,1.0,-5.057,0.432,0.533,0.0,0.0997,0.419,179.056,194534.0,CAPITAL BRA & SAMRA & LEA - 110 (PROD. BY BEATZARRE & DJORKAEFF),171551180.0
115万キロのフィルム,OFFICIAL HIGE DANDISM,spotify:track:278JqkBGkjDovOYAwE8TW7,0.516,0.791,3.0,-1.927,0.0318,0.00345,0.0,0.141,0.48,96.921,324633.0,Official髭男dism - 115万キロのフィルム［Official Live Video］,157864230.0
11:11,TAEYEON,spotify:track:67QGnT1Vdfuuy4HkLTUVjj,0.445,0.528,10.0,-7.243,0.0744,0.677,0.0,0.155,0.511,203.155,223452.0,TAEYEON 태연 '11:11' MV,66254324.0
"12 Songs, Op. 21: V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",Sergei Rachmaninoff,spotify:track:4ObQ0m7VUtrgdEwpFeCKua,0.168,0.00571,8.0,-36.245,0.0404,0.995,0.92,0.068,0.0705,78.043,181693.0,"Rachmaninoff: 12 Songs, Op. 21 - V. Lilacs (Transcr. Rachmaninoff for Solo Piano)",17449365.0
"12"" Running Up That Hill (A Deal With God) - 2018 Remaster",Kate Bush,spotify:track:3vXXUi4bPLz5e5fCPmuKNL,0.718,0.397,10.0,-16.856,0.062,0.39,0.443,0.0622,0.329,108.334,349000.0,Kate Bush - Running Up That Hill - Official Music Video,4421852.0
12345,Em Beihold,spotify:track:0fxUGOzBYJGKgs5ZKw1Em5,0.731,0.605,9.0,-6.353,0.0358,0.383,7.57e-05,0.117,0.557,138.003,164529.0,Em Beihold - 12345 (Official Music Video),2187818.0
13,LANY,spotify:track:0WOvSEVpUGkNufX0w0M06F,0.784,0.539,8.0,-8.148,0.0628,0.69,1.75e-05,0.0367,0.697,133.963,234818.0,LANY - 13 (Official Audio),151662633.0
1400 / 999 Freestyle,Trippie Redd,spotify:track:75lcPkAkUsKWHGBlGM476R,0.825,0.572,6.0,-6.067,0.0864,0.0079,0.0,0.113,0.568,141.991,175954.0,1400 / 999 Freestyle,427070352.0
141,Banda MS de Sergio Lizárraga,spotify:track:3IFYbBUCjCelWt5asaYasY,0.79,0.543,5.0,-6.952,0.0298,0.128,1.76e-06,0.153,0.794,122.451,171621.0,Banda MS' 141 Music Video | Call of Duty: Modern Warfare II,28612447.0
151 Rum,JID,spotify:track:22WV03i2lBbwNVCE1g671p,0.756,0.867,7.0,-3.626,0.162,0.155,0.00285,0.33,0.666,129.983,156780.0,JID - 151 Rum,144528923.0
152 - und das Geheimnis der Kelly Brüder - Teil 02,Fünf Freunde,spotify:track:6jsu99aJVckurpzYm6erwX,0.597,0.521,2.0,-13.769,0.783,0.425,0.0,0.738,0.566,114.111,191680.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,39052.0
152 - und das Geheimnis der Kelly Brüder - Teil 04,Fünf Freunde,spotify:track:0z8dP94b7EcE31B2soknvN,0.683,0.339,0.0,-17.472,0.909,0.51,0.0,0.775,0.596,127.545,181747.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,39368.0
152 - und das Geheimnis der Kelly Brüder - Teil 05,Fünf Freunde,spotify:track:60ffqcoigtzZ4IdFadIk3h,0.631,0.351,6.0,-19.467,0.931,0.432,0.0,0.377,0.482,88.943,182160.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,39997.0
152 - und das Geheimnis der Kelly Brüder - Teil 06,Fünf Freunde,spotify:track:2uWoH2NYm5kfNI6coZK1JU,0.585,0.391,1.0,-16.679,0.88,0.59,0.0,0.86,0.541,84.97,184840.0,Fünf Freunde Teil 6 - Fünf Freunde beim Wanderzirkus,41450.0
152 - und das Geheimnis der Kelly Brüder - Teil 07,Fünf Freunde,spotify:track:5EM9lIY4pHcR7IdhwcFRhk,0.668,0.301,5.0,-17.736,0.926,0.593,0.0,0.406,0.545,95.787,180813.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,40119.0
152 - und das Geheimnis der Kelly Brüder - Teil 08,Fünf Freunde,spotify:track:5ytYz7fK6Jso822d9JRQ87,0.651,0.383,0.0,-16.761,0.933,0.541,0.0,0.362,0.554,77.772,186187.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,40180.0
152 - und das Geheimnis der Kelly Brüder - Teil 09,Fünf Freunde,spotify:track:1IE2lDS49PyFdHzq6G73pi,0.628,0.328,5.0,-17.086,0.935,0.577,0.0,0.643,0.582,86.661,180453.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,40134.0
152 - und das Geheimnis der Kelly Brüder - Teil 10,Fünf Freunde,spotify:track:3gNMaovGVD5iTOtH3jmGfV,0.644,0.326,1.0,-19.431,0.959,0.519,0.0,0.483,0.485,63.313,183000.0,Fünf Freunde Teil 10 - Fünf Freunde im Nebel,40340.0
152 - und das Geheimnis der Kelly Brüder - Teil 11,Fünf Freunde,spotify:track:3DwCZDB3NYFrcmniaiLiFC,0.498,0.447,8.0,-17.535,0.916,0.491,0.0,0.527,0.625,89.241,182213.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,39403.0
152 - und das Geheimnis der Kelly Brüder - Teil 12,Fünf Freunde,spotify:track:4ke5ymXPxF4hYjfAxNuJIl,0.673,0.451,1.0,-16.467,0.89,0.493,0.0,0.295,0.488,123.402,181720.0,Fünf Freunde - Folge 152: und das Geheimnis der Kelly Brüder | Hörspiel,38800.0
16,Baby Keem,spotify:track:1Is8hGpkGMiePASAxBluxM,0.701,0.782,1.0,-4.987,0.138,0.0918,2.31e-06,0.124,0.57,94.03,156040.0,Baby Keem - 16 (Official Video),132974730.0
